"Rtalias"	"``"	"From"	"F_F"	"F_L"	"To"	"T_F"	"T_L"	"AM"	"NOON"	"PM"	"Schedule"	"Primary"			
"0440"	44	"Colaba Depot"	5.15	7.20	"Worli Depot"						"Mon-Sat"	2			
"0440"	44		21.25	22.45	"Worli Depot"	19.45	23.45				"Mon-Sat"	2			
"0440"	44	"Colaba Depot"	5.30	22.45	"Worli Depot"	5.55	23.45	21	20	25	"Sunday"	4			
"0440"	44	"Colaba Depot"	5.30	22.45	"Worli Depot"	5.55	23.45	18	20	20	"Holiday"	4			
"0450"	45	"Mantralaya"	7.00	21.45	"Anik Depot"	5.55	19.55	19	22	21	"Mon-Sat"	2			
"0450"	45	"Mayo Road"	21.45	22.35	"Anik Depot"	20.23	21.20				"Mon-Sat"	2			
"0450"	45	"Mantralaya"	8.43	11.05	"M.Phule Market"	8.14	11.30	14		14	"Mon-Sat"	2			
"0450"	45	"Mantralaya"	16.39	20.05	"M.Phule Market"	17.05	19.36				"Mon-Sat"	2			
"0450"	45	"Mantralaya"	7.00	21.00	"Anik Depot"	6.00	19.27	10	21	19	"Sunday"	4			
"0450"	45	"Chh.Shivaji Terminus"	21.00	22.45	"Anik Depot"	19.45	21.40				"Sunday"	4			
"0450"	45	"Mantralaya"	7.00	21.35	"Anik Depot"	6.00	19.40	23	21	21	"Holiday"	4			
"0450"	45	"Chh.Shivaji Terminus"	21.30	22.30	"Anik Depot"	20.05	21.20				"Holiday"	4			
"0460"	46	"Dharavi Depot "	9.15	21.05	"Ferry Wharf"	8.08	22.15	27	27	29	"All Days"	1			
"0460"	46	"Mahim Machhimar Nagar"	4.55	8.50	"Ferry Wharf"	5.30	7.48				"All Days"	1			
"0460"	46	"Shravane Yashwante Chk"	9.22	11.10	"Dharavi Depot"	8.25	10.16				"All Days"	1			
"0460"	46	"Shravane Yashwante Chk"	16.38	20.23		15.45	19.30				"All Days"	1			
"0480"	48	"Ferry Wharf"	7.15	20.45	"August Kranti Maidan"	6.45	21.10	22	24	24	"Mon-Sat"	2			
"0480"	48	"Ferry Wharf"	7.33	20.45	"August Kranti Maidan"	6.55	21.00	28	31	32	"Sun-Hol"	4			
"0500"	50	"Ferry Wharf"	6.30	22.30	"Worli Depot"	5.40	21.30	23	27	23	"Mon-Fri"	2			
"0500"	50	"Ferry Wharf"	6.30	22.30	"Worli Depot"	5.50	21.30	23	27	23	"Saturday"	3			
"0500"	50	"Ferry Wharf"	6.57	22.25	"Worli Depot"	6.05	21.20	20	25	23	"Sun-Hol"	4			
